Assembly_No,Election_Type,State_Name,Year,female,male,total,LitYear,Litmale,Litfemale,Littotal
3,GE,Lok_Sabha,1962,46.63,63.31,55.42,1961,40.4,15.35,28.3
4,GE,Lok_Sabha,1967,55.48,66.73,61.33,1971,45.96,21.97,34.45
5,GE,Lok_Sabha,1971,49.11,60.9,55.29,1981,56.38,29.76,43.57
6,GE,Lok_Sabha,1977,54.91,65.63,60.49,1991,64.13,39.29,52.21
7,GE,Lok_Sabha,1980,51.22,62.16,56.92,2001,75.26,53.67,64.83
8,GE,Lok_Sabha,1984,58.6,68.18,63.56,2011,82.14,65.46,74.04
9,GE,Lok_Sabha,1989,57.32,66.13,61.95,2018,84.7,70.3,77.7
10,GE,Lok_Sabha,1991,51.35,61.58,56.93,,,,
11,GE,Lok_Sabha,1996,53.41,62.06,57.94,,,,
12,GE,Lok_Sabha,1998,57.88,65.72,61.97,,,,
13,GE,Lok_Sabha,1999,55.64,63.97,59.99,,,,
14,GE,Lok_Sabha,2004,53.3,61.66,57.65,,,,
15,GE,Lok_Sabha,2009,56.4,60.5,58.19,,,,
16,GE,Lok_Sabha,2014,65.63,67.09,66.4,,,,
17,GE,Lok_Sabha,2019,66.68,67.19,67.1,,,,
